date,slot,time_end,price_fixed_yuan_per_kwh,load_q1_kw,price_volatile_yuan_per_kwh,load_actual_kw,pv_actual_kw,pv_forecast_q1_kw,pv_forecast_q3_latest_kw,issue_datetime
2025-01-01,0,00:10,0.4248,3439.8466,0.4527,3529.7296,0.0,0.0,0.0,2025-01-01
2025-01-01,1,00:20,0.4245,3437.9792,0.4733,3609.5287,0.0,0.0,0.0,2025-01-01
2025-01-01,2,00:30,0.4269,3444.3031,0.4843,3726.56,0.0,0.0,0.0,2025-01-01
2025-01-01,3,00:40,0.4272,3454.4437,0.4541,3510.6311,0.0,0.0,0.0,2025-01-01
2025-01-01,4,00:50,0.4271,3458.8273,0.4266,3502.5625,0.0,0.0,0.0,2025-01-01
2025-01-01,5,01:00,0.4285,3459.8401,0.4311,3787.01,0.0,0.0,0.0,2025-01-01
2025-01-01,6,01:10,0.4311,3467.1582,0.4544,3900.3205,0.0,0.0,0.0,2025-01-01
2025-01-01,7,01:20,0.4302,3467.9632,0.4483,3916.8376,0.0,0.0,0.0,2025-01-01
2025-01-01,8,01:30,0.4279,3466.9683,0.4251,3817.28,0.0,0.0,0.0,2025-01-01
2025-01-01,9,01:40,0.4312,3482.4927,0.444,3533.0136,0.0,0.0,0.0,2025-01-01
2025-01-01,10,01:50,0.4333,3495.0841,0.478,3694.6613,0.0,0.0,0.0,2025-01-01
2025-01-01,11,02:00,0.4311,3498.4443,0.4941,4064.73,0.0,0.0,0.0,2025-01-01
2025-01-01,12,02:10,0.4293,3505.2295,0.484,3810.671,0.0,0.0,0.0,2025-01-01
2025-01-01,13,02:20,0.4324,3512.6387,0.4751,3844.9495,0.0,0.0,0.0,2025-01-01
2025-01-01,14,02:30,0.4367,3516.8685,0.488,4234.62,0.0,0.0,0.0,2025-01-01
2025-01-01,15,02:40,0.4348,3517.9246,0.5215,4109.9755,0.0,0.0,0.0,2025-01-01
2025-01-01,16,02:50,0.4335,3518.5518,0.5498,3996.8945,0.0,0.0,0.0,2025-01-01
2025-01-01,17,03:00,0.4357,3521.0976,0.5471,4102.19,0.0,0.0,0.0,2025-01-01
2025-01-01,18,03:10,0.4374,3526.9261,0.5067,4086.0577,0.0,0.0,0.0,2025-01-01
2025-01-01,19,03:20,0.4371,3537.2854,0.4769,4133.7626,0.0,0.0,0.0,2025-01-01
2025-01-01,20,03:30,0.4356,3544.8808,0.4669,4179.18,0.0,0.0,0.0,2025-01-01
2025-01-01,21,03:40,0.4353,3541.2787,0.4501,3953.3711,0.0,0.0,0.0,2025-01-01
2025-01-01,22,03:50,0.436,3546.3976,0.4608,3910.7496,0.0,0.0,0.0,2025-01-01
2025-01-01,23,04:00,0.4378,3560.207,0.4927,4099.31,0.0,0.0,0.0,2025-01-01
2025-01-01,24,04:10,0.4401,3561.9581,0.4976,4123.8623,0.0,0.0,0.0,2025-01-01
2025-01-01,25,04:20,0.4389,3556.7183,0.4889,4169.0068,0.0,0.0,0.0,2025-01-01
2025-01-01,26,04:30,0.4364,3560.0272,0.4885,4260.24,0.0,0.0,0.0,2025-01-01
2025-01-01,27,04:40,0.4393,3580.654,0.5042,4217.2222,0.0,0.5994,0.0,2025-01-01
2025-01-01,28,04:50,0.4422,3586.916,0.5178,4261.857,0.0,0.2345,0.0,2025-01-01
2025-01-01,29,05:00,0.4395,3571.2635,0.5042,4341.9,0.0,0.2885,0.0,2025-01-01
2025-01-01,30,05:10,0.4333,3562.3171,0.4639,4208.2208,0.0021,18.6781,0.0,2025-01-01
2025-01-01,31,05:20,0.4439,3591.3809,0.4899,4302.1233,0.0,54.4698,0.0,2025-01-01
2025-01-01,32,05:30,0.4301,3579.7045,0.5194,4456.59,0.0,108.9718,0.0,2025-01-01
2025-01-01,33,05:40,0.3713,3486.119,0.4459,4148.637,0.0299,184.1603,0.0,2025-01-01
2025-01-01,34,05:50,0.5708,3823.8994,0.6726,4498.1333,0.0,277.0582,0.0,2025-01-01
2025-01-01,35,06:00,0.9099,4398.0727,1.0693,5369.38,0.0,388.5494,0.0,2025-01-01
2025-01-01,36,06:10,0.9368,4454.0123,1.0696,5440.8991,0.4169,521.2803,0.5153166666666666,2025-01-01
2025-01-01,37,06:20,0.8758,4371.7919,0.9974,5316.893,0.0,672.7677,1.0306333333333333,2025-01-01
2025-01-01,38,06:30,0.8759,4392.953,1.0451,5399.82,0.0,844.2261,1.54595,2025-01-01
2025-01-01,39,06:40,0.8601,4384.5956,1.0684,5447.4007,5.8062,1039.6744,2.0612666666666666,2025-01-01
2025-01-01,40,06:50,0.8442,4434.7757,1.0267,5444.401,0.0,1259.3375,2.5765833333333332,2025-01-01
2025-01-01,41,07:00,0.8334,4523.4561,0.9814,5433.63,3.075,1508.6318,3.0919,2025-01-01
2025-01-01,42,07:10,0.8092,4524.0721,1.0187,5449.2818,175.7953,1791.4107,267.37390000000005,2025-01-01
2025-01-01,43,07:20,0.7972,4545.8867,1.0362,5510.0042,421.496,2085.4865,531.6559000000001,2025-01-01
2025-01-01,44,07:30,0.7644,4523.2418,0.967,5476.0,677.1,2381.2611,795.9379,2025-01-01
2025-01-01,45,07:40,0.6899,4383.3566,0.893,5329.4215,950.8112,2683.1752,1060.2199,2025-01-01
2025-01-01,46,07:50,0.86,4910.4599,1.136,6084.1163,1255.5705,2986.3552,1324.5019,2025-01-01
2025-01-01,47,08:00,1.1617,5799.7327,1.5209,7316.0,1592.2875,3289.204,1588.7839,2025-01-01
2025-01-01,48,08:10,1.1683,5884.826,1.5206,7469.4947,1937.5212,3593.3613,1873.6514666666667,2025-01-01
2025-01-01,49,08:20,1.0956,5748.0713,1.4132,7225.691,2225.1261,3890.7332,2158.5190333333335,2025-01-01
2025-01-01,50,08:30,1.0849,5769.0581,1.3895,7216.13,2490.1125,4181.3417,2443.3866,2025-01-01
2025-01-01,51,08:40,1.061,5754.2105,1.361,7361.7004,2826.3146,4471.7657,2728.2541666666666,2025-01-01
2025-01-01,52,08:50,1.043,5824.1807,1.3028,7275.513,3122.1315,4752.8272,3013.1217333333334,2025-01-01
2025-01-01,53,09:00,1.036,5954.2601,1.2562,7077.29,3350.9625,5021.9074,3297.9893,2025-01-01
2025-01-01,54,09:10,1.0147,5958.9696,1.2749,7221.8762,3601.7977,5285.4126,3530.3623166666666,2025-01-01
2025-01-01,55,09:20,0.9922,5929.5554,1.2735,7229.5513,3875.6352,5543.1742,3762.7353333333335,2025-01-01
