slot,time_end,price_yuan_per_kwh,load_kw,pv_forecast_kw,purchase_kw,charge_kw,discharge_kw,curtailed_kw,soc_start_kwh,soc_end_kwh,purchase_kwh,charge_kwh,discharge_kwh,slot_cost_yuan
0,00:10,0.4248,3439.8466,0.0,8439.8466,5000.0,0.0,9.094947017729282e-13,6000.0,6750.0,1406.6411,833.3333333333333,0.0,597.54113928
1,00:20,0.4245,3437.9792,0.0,8437.9792,5000.0,0.0,0.0,6750.0,7500.0,1406.3298666666665,833.3333333333333,0.0,596.9870283999999
2,00:30,0.4269,3444.3031,0.0,8444.303100000001,5000.0,0.0,9.094947017729282e-13,7500.0,8250.0,1407.3838500000002,833.3333333333333,0.0,600.812165565
3,00:40,0.4272,3454.4437,0.0,8454.4437,5000.0,0.0,0.0,8250.0,9000.0,1409.07395,833.3333333333333,0.0,601.95639144
4,00:50,0.4271,3458.8273,0.0,8458.8273,5000.0,0.0,9.094947017729282e-13,9000.0,9750.0,1409.80455,833.3333333333333,0.0,602.1275233050001
5,01:00,0.4285,3459.8401,0.0,3459.8401,0.0,0.0,0.0,9750.0,9750.0,576.6400166666666,0.0,0.0,247.09024714166665
6,01:10,0.4311,3467.1582,0.0,3467.1582,0.0,0.0,0.0,9750.0,9750.0,577.8597,0.0,0.0,249.11531666999997
7,01:20,0.4302,3467.9632,0.0,3467.9632,0.0,0.0,0.0,9750.0,9750.0,577.9938666666667,0.0,0.0,248.65296144
8,01:30,0.4279,3466.9683,0.0,5466.9683,2000.0,0.0,4.547473508864641e-13,9750.0,10050.0,911.1613833333333,333.3333333333333,0.0,389.8859559283333
9,01:40,0.4312,3482.4927,0.0,3482.4927,0.0,0.0,0.0,10050.0,10050.0,580.41545,0.0,0.0,250.27514204
10,01:50,0.4333,3495.0841,0.0,3495.0841,0.0,0.0,0.0,10050.0,10050.0,582.5140166666666,0.0,0.0,252.40332342166667
11,02:00,0.4311,3498.4443,0.0,3498.4443,0.0,0.0,0.0,10050.0,10050.0,583.0740499999999,0.0,0.0,251.363222955
12,02:10,0.4293,3505.2295,0.0,3505.2295,0.0,0.0,0.0,10050.0,10050.0,584.2049166666666,0.0,0.0,250.79917072499998
13,02:20,0.4324,3512.6387,0.0,3512.6387,0.0,0.0,0.0,10050.0,10050.0,585.4397833333333,0.0,0.0,253.1441623133333
14,02:30,0.4367,3516.8685,0.0,3516.8685,0.0,0.0,0.0,10050.0,10050.0,586.1447499999999,0.0,0.0,255.969412325
15,02:40,0.4348,3517.9246,0.0,3517.9246,0.0,0.0,0.0,10050.0,10050.0,586.3207666666666,0.0,0.0,254.93226934666666
16,02:50,0.4335,3518.5518,0.0,3518.5518,0.0,0.0,0.0,10050.0,10050.0,586.4253,0.0,0.0,254.21536755
17,03:00,0.4357,3521.0976,0.0,3521.0976,0.0,0.0,0.0,10050.0,10050.0,586.8496,0.0,0.0,255.69037071999998
18,03:10,0.4374,3526.9261,0.0,3526.9261,0.0,0.0,0.0,10050.0,10050.0,587.8210166666667,0.0,0.0,257.11291269000003
19,03:20,0.4371,3537.2854,0.0,3537.2854,0.0,0.0,0.0,10050.0,10050.0,589.5475666666666,0.0,0.0,257.69124138999996
20,03:30,0.4356,3544.8808,0.0,3544.8808,0.0,0.0,0.0,10050.0,10050.0,590.8134666666666,0.0,0.0,257.35834607999993
21,03:40,0.4353,3541.2787,0.0,3541.2787,0.0,0.0,0.0,10050.0,10050.0,590.2131166666666,0.0,0.0,256.919769685
22,03:50,0.436,3546.3976,0.0,3546.3976,0.0,0.0,0.0,10050.0,10050.0,591.0662666666666,0.0,0.0,257.70489226666666
