target,method,day_type,MAE_kW,RMSE_kW,MAPE_percent_masked
load,grouped_calendar_xgboost,all,118.29178187376961,156.69912084646765,2.8331930086837467
load,calendar_xgboost,all,124.73133864082459,166.90780589462472,2.9835015946401926
load,standardized_ridge_no_calendar,all,135.68229063443835,177.36715474657157,3.215807789972335
load,standardized_ridge_calendar,all,153.76328226894785,201.12545213552622,3.5938262427759513
load,same_weekday_4weeks,all,154.59524694010415,210.37138749141664,3.5775101280632207
load,previous_day,all,643.1480998759921,1129.3930509251645,15.94309245410618
load,mean_3_days,all,947.1339726231813,1247.8883314741238,23.537718802654858
load,grouped_calendar_xgboost,weekend,111.96413280351426,143.04432609569756,2.937905892886688
load,standardized_ridge_no_calendar,weekend,132.02683357823508,165.82421265660528,3.4229118069022597
load,calendar_xgboost,weekend,126.00187170223661,165.94062300338535,3.3037464007943336
load,standardized_ridge_calendar,weekend,150.99265981251972,190.98972220453146,3.830624989152602
load,same_weekday_4weeks,weekend,154.75829633246528,207.1151220734802,3.936156496809917
load,mean_3_days,weekend,1270.1620385416668,1396.8817485038194,31.79341806426902
load,previous_day,weekend,1017.8941309461804,1485.1988750201147,20.09945466992175
load,grouped_calendar_xgboost,workday,120.82284150187176,161.83877339009126,2.7913078550025694
load,calendar_xgboost,workday,124.22312541625975,167.29311339944672,2.8554036721785363
load,standardized_ridge_no_calendar,workday,137.14447345691963,181.7792144739842,3.132966183200365
load,standardized_ridge_calendar,workday,154.8715312515191,205.03950082923572,3.4991067442252914
load,same_weekday_4weeks,workday,154.53002718315972,211.65986730715917,3.434051580564543
load,previous_day,workday,493.24968744791664,950.4808517402478,14.280547567779955
load,mean_3_days,workday,817.9227462557872,1183.0485853251114,20.235439098009195
pv,standardized_ridge_no_calendar,all,94.21998497989905,183.46707168871532,45.043514822471934
pv,mean_3_days,all,86.62858353174603,184.97207114028816,7.648671339827858
pv,standardized_ridge_calendar,all,97.29193700347203,185.4143126568418,43.48612422565673
pv,grouped_calendar_xgboost,all,106.46893142199602,223.52932660381953,9.241382433413822
pv,previous_day,all,105.52634618055555,224.6745617208179,7.545496870170271
pv,calendar_xgboost,all,106.68735704828539,225.21288074530244,7.94441566729837
pv,same_weekday_4weeks,all,217.29298228236607,397.46210227178057,53.56956006720195
pv,standardized_ridge_no_calendar,weekend,97.15668930076862,194.13774559949942,44.031872966516715
pv,mean_3_days,weekend,92.03869301215279,197.9207722459923,7.6787198702913475
pv,standardized_ridge_calendar,weekend,106.30185324058107,199.77338549968417,51.2634976810064
pv,grouped_calendar_xgboost,weekend,103.18049377448509,217.70427331146192,8.79665699727392
pv,previous_day,weekend,104.1999302517361,220.30987823151912,7.365416591165315
pv,calendar_xgboost,weekend,110.06891139070868,233.86869543290769,8.104800559200815
pv,same_weekday_4weeks,weekend,224.10203368055556,407.87154698937286,46.479322276787634
pv,standardized_ridge_no_calendar,workday,93.04530325155123,179.02080115188488,45.4480107314906
pv,standardized_ridge_calendar,workday,93.68797050862841,179.34907875874507,40.37641130988496
pv,mean_3_days,workday,84.46453973958333,179.5312816979787,7.636656704833314
pv,calendar_xgboost,workday,105.33473531131608,221.6559307432149,7.88028720893038
pv,grouped_calendar_xgboost,workday,107.78430648100039,225.81727911192075,9.419201904302831
pv,previous_day,workday,106.05691255208332,226.3968753752214,7.6175003521571485
pv,same_weekday_4weeks,workday,214.56936172309028,393.2211747882139,56.40452795955362
