target,method,MAE_kW,RMSE_kW,MAPE_percent_masked
load,xgboost,450.65494277464853,706.82578629226,11.253632505610252
load,sarimax,564.8460016668364,787.76712331692,14.495520703631925
load,exp_smoothing_alpha_0.4,841.0091079075886,1103.2315266815424,21.025494380236893
load,previous_day,643.1480998759921,1129.3930509251645,15.94309245410618
load,mean_3_days,947.1339726231813,1247.8883314741238,23.537718802654858
pv,exp_smoothing_alpha_0.4,85.61515243775068,182.0505607817952,7.982751747788609
pv,mean_3_days,86.62858353174603,184.97207114028816,7.648671339827858
pv,previous_day,105.52634618055555,224.6745617208179,7.545496870170271
pv,xgboost,117.96287408415141,235.90006319661168,32.90956896469297
pv,sarimax,691.9799695161086,1091.361448062017,515.7595351815457
