date,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,baseline_without_storage_cost_yuan,soc_start_kwh,soc_end_kwh
2025-02-01,86065.09491583332,7894.036372427983,6394.169461666667,0.0,55550.653513813,0.0,55550.653513813,69245.02839825675,10800.0,10800.0
2025-02-02,86062.1023325,16958.02568894033,17589.622799166667,0.0,55549.37388517966,0.0,55549.37388517966,69952.26551760467,10800.0,6518.197787638887
2025-02-03,89677.82078290122,22058.13325117284,18029.90079583334,0.0,56679.01205806615,0.0,56679.01205806615,69005.05281910674,6518.197787638887,6337.29460721296
2025-02-04,88887.18785845679,24295.9188656893,19573.30541666667,0.0,55994.91560306606,0.0,55994.91560306606,70073.58684232741,6337.29460721296,6455.504456703703
2025-02-05,88436.46158596707,23732.876100637866,19320.320955833333,0.0,55716.262486732114,0.0,55716.262486732114,69431.19017175007,6455.504456703703,6348.069663018519
2025-02-06,87361.59946430041,23609.231056450615,19177.112295000003,21.052866666666734,54855.19925875589,122.98032063333372,54978.17957938923,68797.09738728784,6348.069663018519,6288.475063824075
2025-02-07,86451.6007180967,14089.070173940332,7351.774398333336,0.0,54145.267072544135,0.0,54145.267072544135,65637.89919561442,6288.475063824075,10800.0
2025-02-08,81438.79523345678,8141.728248971198,6594.799881666669,0.0,52054.95427233338,0.0,52054.95427233338,65637.89919561442,10800.0,10800.0
2025-02-09,81438.79523345678,18818.47630597736,19404.89272166667,0.0,52054.95427233338,0.0,52054.95427233338,68784.56105640775,10800.0,6175.636762416665
2025-02-10,85847.62010996912,20995.712515987652,17221.743280833336,11.169580833333974,53690.75901089356,48.71749198250317,53739.47650287607,66460.77351252633,6175.636762416665,5936.507714768518
2025-02-11,85347.44558430041,22313.764446707813,17957.057839250003,117.96728491666529,53274.086352162834,674.6062605711573,53948.69261273399,65746.58246903925,5936.507714768518,6066.609228749998
2025-02-12,84131.72438302469,22523.4046640535,18294.257013333332,118.6431508333347,52448.74836482661,640.2034835050096,53088.95184833162,66214.53634631824,6066.609228749998,6010.721189361112
2025-02-13,83477.43835223251,20386.121295792174,16374.740195191667,76.61587064166383,52018.041210510724,421.796633719413,52439.83784423013,65466.349806222584,6010.721189361112,6164.0745831388895
2025-02-14,82118.91591492797,13603.140771820987,6846.21115,0.0,51112.899588470835,0.0,51112.899588470835,62544.69400351533,6164.0745831388895,10800.0
2025-02-15,76967.88767397118,8445.441172839504,6840.80735,0.0,48963.44127083209,0.0,48963.44127083209,62544.69400351533,10800.0,10800.0
2025-02-16,76957.34809063785,17133.032508333326,18164.043635858332,187.211219975001,48958.93454499876,1214.5753735872738,50173.50991858603,65896.62347554283,10800.0,6037.458550990741
2025-02-17,81890.36872808899,19677.499453364188,16072.669332391666,174.93911177499808,50895.09907248782,1120.157531850983,52015.2566043388,64692.75036483308,6037.458550990741,5888.686578583332
2025-02-18,80895.58352942993,21140.501607098762,16928.109738166666,154.3552715083324,50120.162235071206,1029.0455534471268,51149.20778851834,63291.94230743683,5888.686578583332,6106.127204787038
2025-02-19,79423.37981956995,22707.779629814813,18674.557139383334,299.08934711666467,49157.50272318422,1698.618690099186,50856.1214132834,64821.43485214183,6106.127204787038,5793.6209389722235
2025-02-20,79058.44128625863,22295.699346358022,17735.133307675,97.15832637499709,48797.259550462826,464.08677865247955,49261.34632911531,63627.18197536367,5793.6209389722235,6154.046675499999
2025-02-21,77814.7378891139,14269.345071183132,7376.811515608333,0.0,47974.92076040603,0.0,47974.92076040603,59676.40643262233,6154.046675499999,10800.0
2025-02-22,72652.56752855833,9459.566768240742,7696.076498941667,0.0,45820.69472979097,0.0,45820.69472979097,59748.72944945566,10800.0,10762.41398148148
2025-02-23,72703.36485469002,17520.635917479423,18483.260666316666,130.0476392916653,45840.064452175335,847.4821168153233,46687.546568990656,63531.73825358567,10762.41398148148,5994.030011305555
2025-02-24,77464.19135301441,21053.27880007202,17093.454030025,106.8037549750002,47638.95142968192,566.5298203772851,48205.4812500592,61332.67437468492,5994.030011305555,5949.254231342592
2025-02-25,76909.66457745884,20516.955704938275,16629.36739975,141.5601202500006,47237.91974875088,759.1996319806705,47997.11938073155,61166.48861621416,5949.254231342592,5937.439477175926
2025-02-26,76014.47159204732,21984.214385689298,17754.38790066667,44.97255349999904,46582.60130276268,251.42034181896852,46834.02164458165,61124.99705814283,5937.439477175926,5996.134756888889
2025-02-27,75122.58438700617,23384.14792058643,18709.08678914167,326.90943169166195,45938.730259803364,1878.2129766842634,47816.94323648763,61451.128905311496,5996.134756888889,6253.993675259258
2025-02-28,74422.30815536008,14775.794793950614,7876.988090833333,0.0,45588.771444795275,0.0,45588.771444795275,57621.790844492665,6253.993675259258,10800.0
2025-03-01,69371.19001675925,9576.864247942385,7757.260040833333,0.0,43482.064659954645,0.0,43482.064659954645,57621.790844492665,10800.0,10800.0
2025-03-02,69371.19001675925,15947.785121399176,17268.500719358333,2816.01326730833,43482.064659954645,18995.858972695398,62477.92363265005,70578.12501903142,10800.0,5965.78358775
2025-03-03,74422.27087679012,22229.736486913578,18037.36281025833,2761.989828908333,45479.471699121554,17547.108684972547,63026.5803840941,70950.9198794309,5965.78358775,5931.032192351851
2025-03-04,74651.88445229424,23082.40376131687,18719.916943333334,33.138362500000916,45645.20247110601,183.9378784908396,45829.14034959685,60763.586904949414,5931.032192351851,5905.287862722223
2025-03-05,74283.39461419753,21617.509584300413,17400.751746666665,105.38932333333423,45377.19982384487,726.4658719833396,46103.66569582821,60346.937898362245,5905.287862722223,6026.877881185185
2025-03-06,73409.91123407408,21541.954880411526,17382.52980827501,219.5072842249912,44754.244457133376,1431.5474068902054,46185.79186402358,59814.844494068915,6026.877881185185,6100.71526436111
2025-03-07,72584.43734166666,14359.809036512335,7402.089057499999,0.0,44248.96636198016,0.0,44248.96636198016,56269.87639109766,6100.71526436111,10800.0
2025-03-08,67363.00985762346,9287.250276748971,7522.672724166666,0.0,42069.384208224736,0.0,42069.384208224736,56269.87639109766,10800.0,10800.0
2025-03-09,67360.67927429012,16031.007286275722,17289.935909108335,86.51327422500027,42068.3876507914,596.6630509131855,42665.05070170459,57917.232406065166,10800.0,6016.866658638889
2025-03-10,71713.75112661523,21557.315453662555,17580.972138808334,455.6291328583315,43671.91759597798,3166.872792421304,46838.790388399284,60231.536947386245,6016.866658638889,5884.0370793703705
