day_type,target,observations,MAE_kW,RMSE_kW,mean_error_kW
all,load,48096,149.44206317437553,206.53106711096302,11.860095385441682
all,pv,48096,154.6389563199811,304.97881065140575,-33.86985442919531
all,net_load,48096,255.78519578512612,371.38569013545697,45.72994981463699
all,pv_mean3_alternative,48096,154.45853356828007,313.47958916505144,-1.5020113723941029
holiday,load,3312,198.21374789626265,271.0954098423426,22.29945441729412
holiday,pv,3312,182.36496122292124,378.51276536374115,-51.83949508559457
holiday,net_load,3312,337.76651236737257,489.1936741207541,74.13894950288868
holiday,pv_mean3_alternative,3312,182.84727107487922,383.41844387097433,-11.531562600644136
makeup_workday,load,576,118.80579640774197,154.11018134060416,-41.69462951456705
makeup_workday,pv,576,142.81385282768036,254.129348811043,-82.56820215902509
makeup_workday,net_load,576,224.79624955117822,311.2615340862505,40.87357264445805
makeup_workday,pv_mean3_alternative,576,147.59790468749998,267.96510985448316,-64.62175746527777
weekend,load,11808,146.7451240595293,201.96030193014147,8.52917364396093
weekend,pv,11808,152.8635465757708,302.90855778861027,-22.85744120473198
weekend,net_load,11808,251.50973001774727,367.6586255304606,31.3866148486929
weekend,pv_mean3_alternative,11808,153.49644880307136,310.90958302457415,3.0457561088527543
workday,load,32400,145.9840424005112,201.29416715931276,12.958980828414349
workday,pv,32400,152.6620047654337,298.05784209397115,-35.180622244259716
workday,net_load,32400,249.51396776943363,359.5792494128969,48.13960307267406
workday,pv_mean3_alternative,32400,152.02916691769548,307.152092823013,-1.0120481316872414
