date,issued_at,history_through_date,history_days,quantile,initial_soc_kwh,planned_terminal_soc_kwh,milp_gap
2025-01-01,2025-01-01 00:00,,0,0.8,6000.0,6000.0,0.0
2025-01-02,2025-01-02 00:00,2025-01-01,1,0.8,6000.0,6000.0,0.0
2025-01-03,2025-01-03 00:00,2025-01-02,2,0.8,6049.00903722222,6000.0,0.0
2025-01-04,2025-01-04 00:00,2025-01-03,3,0.8,10800.0,6000.0,0.0
2025-01-05,2025-01-05 00:00,2025-01-04,4,0.8,10761.142222222223,6000.0,0.0
2025-01-06,2025-01-06 00:00,2025-01-05,5,0.8,6002.752853444444,6000.0,0.0
2025-01-07,2025-01-07 00:00,2025-01-06,6,0.8,6172.35845511111,6000.0,0.0
2025-01-08,2025-01-08 00:00,2025-01-07,7,0.8,6252.932365925926,6000.0,0.0
2025-01-09,2025-01-09 00:00,2025-01-08,8,0.8,6417.768063888892,6000.0,1.1572688182079843e-16
2025-01-10,2025-01-10 00:00,2025-01-09,9,0.8,6438.6398496296315,6000.0,0.0
2025-01-11,2025-01-11 00:00,2025-01-10,10,0.8,10800.0,6000.0,0.0
2025-01-12,2025-01-12 00:00,2025-01-11,11,0.8,10795.473333333333,6000.0,0.0
2025-01-13,2025-01-13 00:00,2025-01-12,12,0.8,6345.1288207407415,6000.0,0.0
2025-01-14,2025-01-14 00:00,2025-01-13,13,0.8,6095.333797259262,6000.0,0.0
2025-01-15,2025-01-15 00:00,2025-01-14,14,0.8,6096.4874847407455,6000.0,0.0
2025-01-16,2025-01-16 00:00,2025-01-15,14,0.8,6224.740279703704,6000.0,0.0
2025-01-17,2025-01-17 00:00,2025-01-16,14,0.8,6357.4541698148105,6000.0,0.0
2025-01-18,2025-01-18 00:00,2025-01-17,14,0.8,10800.0,6000.0,0.0
2025-01-19,2025-01-19 00:00,2025-01-18,14,0.8,10768.765185185186,6000.0,1.2156021906868196e-16
2025-01-20,2025-01-20 00:00,2025-01-19,14,0.8,6323.126555629627,6000.0,0.0
2025-01-21,2025-01-21 00:00,2025-01-20,14,0.8,6342.532607407411,6000.0,0.0
