date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_soc_kwh,terminal_soc_kwh
2025-02-01,50694.77052438133,50694.77052438133,0.0,0.0,17786.14066581618,14376.002953858508,0.0,12906.456879090325,27406.18815597393,0.0,0.0,27406.18815597393,7827.277455768037,7861.467439604263
2025-02-02,96168.74343803353,96185.72648979568,16.983051762152968,0.0,20125.491605336774,16588.589031037325,0.0,14292.545965496238,61820.649416757056,24.004790428940407,0.0,61844.654207185995,7861.467439604263,7542.644294365885
2025-02-03,97191.65535626013,97191.65535626013,0.0,0.0,20210.489666344518,16681.73163,0.0,13445.980819915612,62279.73105154669,0.0,0.0,62279.73105154669,7542.644294365885,7196.8276274092905
2025-02-04,99452.39408419801,99452.39408419801,0.0,0.0,21398.34118947611,17241.269826679687,0.0,14100.45877140159,64209.53080282593,0.0,0.0,64209.53080282593,7196.8276274092905,7298.368223849247
2025-02-05,93518.53485492257,93763.695808525,245.16095360243196,0.0,22054.545603925755,17932.005200173608,0.0,8892.728421439526,59845.03696936811,323.5321086471373,0.0,60168.56907801525,7298.368223849247,7223.009044967304
2025-02-06,99019.34221195907,99019.34221195907,0.0,0.0,20918.127065086053,17092.889603285592,0.0,14923.047533491937,63720.01576071342,0.0,0.0,63720.01576071342,7223.009044967304,7057.22384433854
2025-02-07,50318.304412174955,50318.304412174955,0.0,0.0,18423.918935413178,14674.803815347224,0.0,14763.509625442339,26704.816640688103,0.0,0.0,26704.816640688103,7057.22384433854,7333.41331360238
2025-02-08,40735.79808083536,40945.418424160016,209.62034332465387,0.0,18258.62705019022,14728.088372222224,0.0,5837.7170295253545,21411.66245829507,259.5060164856303,0.0,21671.1684747807,7333.41331360238,7401.63502297111
2025-02-09,94458.99480462936,94460.36524114221,1.3704365128464815,0.0,20204.781401022483,16777.72195515191,0.0,11477.88982860497,60549.76870805545,2.0026188762225634,0.0,60551.771326931674,7401.63502297111,6944.02500038923
2025-02-10,89005.56448686786,89006.01744409009,0.45295722222226686,0.0,20073.339314220626,16381.35699526476,0.0,10987.39754180089,56264.211262297256,0.6364954886667293,0.0,56264.84775778592,6944.02500038923,6808.522610671389
2025-02-11,89456.23566069316,89456.29471235983,0.059051666666618985,0.0,21821.760776078267,17813.96226317274,0.0,10227.89906612097,56805.27380486118,0.08297940199993299,0.0,56805.35678426318,6808.522610671389,6654.815905616564
2025-02-12,89828.4443911656,89828.4443911656,0.0,0.0,20977.847050136155,16894.13594232639,0.0,10477.997150022498,56807.971950604464,0.0,0.0,56807.971950604464,6654.815905616564,6763.616092598666
2025-02-13,84333.43440030779,84418.76874080235,85.33434049457304,0.0,19486.80246343631,15777.187258953993,0.0,9379.674519653374,52739.369500261775,117.03914202591233,0.0,52856.408642287686,6763.616092598666,6771.530244186918
2025-02-14,41014.055245690855,41474.60321979676,460.54797410590345,0.0,18061.61449792792,14502.539145963541,0.0,8113.726051165716,21201.648048833267,584.100000696135,0.0,21785.748049529404,6771.530244186918,6913.050907918113
2025-02-15,40325.88492798916,40325.88492798916,0.0,0.0,17389.11704529536,14250.860600394964,0.0,7907.537383088764,21246.51120505051,0.0,0.0,21246.51120505051,6913.050907918113,6728.966692689525
2025-02-16,89528.90389183802,89537.02489131875,8.120999480727392,0.0,20639.965187815764,16968.257467984546,0.0,10487.938071487542,56490.24606354174,15.69098914668743,0.0,56505.93705268842,6728.966692689525,6451.315952851999
2025-02-17,88660.33618289421,88660.33618289421,0.0,0.0,19149.81139669436,15534.326656332461,0.0,13860.98827586565,55330.44083885739,0.0,0.0,55330.44083885739,6451.315952851999,6425.7832583964155
2025-02-18,77990.68753339296,78224.1305230272,233.4429896342418,0.0,22049.010677045557,17775.28002925143,34.206666666666706,1893.2187585664142,48399.90973175464,260.9602755074768,155.62323000000018,48816.49323726212,6425.7832583964155,6519.581724124712
2025-02-19,78799.86904026355,79086.72940851,286.86036824643776,0.0,22486.339516123055,18488.23287464848,73.96492364583332,2283.2603073479295,49060.34480300477,355.30280782090443,328.5193831069271,49744.1669939326,6519.581724124712,6214.806316803822
2025-02-20,81979.9370429697,82172.95274878433,193.0157058146267,0.0,21050.357122065052,16815.142370313846,10.652207960069404,6955.256471659869,50634.473106734586,288.62100468988166,49.89494208496509,50972.98905350943,6214.806316803822,6476.636204091434
2025-02-21,35525.67334918145,35654.06104992798,128.38770074652786,0.0,17791.254906875914,14268.677858589408,0.0,6571.221968308144,18376.686843238713,195.1366185492176,0.0,18571.82346178793,6476.636204091434,6634.679110735967
2025-02-22,35681.93006392216,35750.214743922166,68.28468000000078,0.0,17179.492013661747,13937.167573177081,0.0,4663.127420104166,18740.674584233155,125.22727465200141,0.0,18865.901858885154,6634.679110735967,6610.480175057001
2025-02-23,80557.18076601745,80589.67116364263,32.490397625173614,0.0,22260.61945699434,18444.633092868753,0.0,5241.831116183712,49817.2182737641,55.816690458233026,0.0,49873.03496422234,6610.480175057001,6151.000916497731
2025-02-24,77286.06599111899,77308.28160091907,22.215609800087805,0.0,21191.24384818176,16966.578152938626,31.480576684027938,4912.06286569331,48021.44639725377,42.92389047523965,139.46592743798684,48203.836215167,6151.000916497731,6371.366876596165
2025-02-25,79092.25394666992,79104.26476789796,12.010821228038594,0.0,19252.1951554486,15685.98520707648,81.46333333333337,9798.194919525846,48816.19340376564,17.427411831760693,365.33128500000015,49198.952100597395,6371.366876596165,6269.470064192709
2025-02-26,73073.19265626355,75178.15556948533,2104.9629132217738,0.0,22606.30438950789,18046.319943943272,12.559896588541733,1815.8829871759206,44719.54863305939,2002.3498658492283,57.10046710951853,46778.99896601814,6269.470064192709,6563.677410368394
2025-02-27,73603.61731571009,74195.38605893365,591.768743223567,0.0,22530.13421638492,18481.619925028208,12.453090182291703,3202.7406577592433,45313.232572615416,661.3760107577205,56.655973580521014,46031.264556953654,6563.677410368394,6305.66495508348
2025-02-28,34483.716290675315,34483.716290675315,0.0,0.0,17201.711553861394,13750.33085032552,0.0,7739.742037139436,17969.094160009,0.0,0.0,17969.094160009,6305.66495508348,6509.059964308162
2025-03-01,37793.18308971707,37793.18308971707,0.0,0.0,16099.000089131945,13194.425196210937,0.0,11229.842263462735,19469.0477129374,0.0,0.0,19469.0477129374,6509.059964308162,6337.687604292533
2025-03-02,81593.99106421912,82667.56392666801,1073.5728624488738,0.0,22107.754376660232,18237.36174984375,0.0,6438.864233184854,50577.932022157926,1430.8096804538836,0.0,52008.74170261181,6337.687604292533,5970.93126568258
2025-03-03,83710.67129542572,84536.16690033457,825.4956049088544,0.0,21800.17278248853,17656.999154735244,21.617328684894414,8397.463967932854,51801.72221031789,1080.11086554507,102.22315291672503,52984.056228779686,5970.93126568258,5972.198820216434
2025-03-04,74780.37427723545,75950.8187900878,1170.4445128523498,0.0,21877.622203327806,17732.383403931988,0.0,2606.1220573586497,46013.163734660666,1214.2462162476595,0.0,47227.409950908324,5972.198820216434,5959.4105766203675
