issue_hour,lead_band,n,MAE_kw,RMSE_kw,bias_actual_minus_forecast_kw
0,0-6h,12024,10.557807221667776,43.67117700461897,-9.72336876247505
0,6-12h,12024,342.5107743249612,484.66923747150076,54.269037495841665
0,12-18h,12024,426.2720204978931,589.8209328501631,83.83154105954758
0,18-24h,12024,10.623287947715683,46.242041132539654,-9.672318533765802
6,0-6h,12024,184.68695151641163,269.62826408139364,18.673075898203592
6,6-12h,12024,280.7398324476048,382.4828267767177,31.323714849467752
6,12-18h,12024,10.122645966400531,43.98719550189461,-9.761272305389221
6,18-24h,11988,13.839286208430655,57.52671304510972,-9.23311554054054
12,0-6h,12024,140.37828050011086,192.7780920458838,6.545273669328012
12,6-12h,12024,10.127192271013529,43.41036820620372,-9.96714625748503
12,12-18h,11988,12.158049486986991,49.130758852944574,-10.163085064230899
12,18-24h,11988,688.1173992965188,1028.9467065028864,143.75094804804803
18,0-6h,12024,10.015140843313375,42.92335290156186,-9.929809189953428
18,6-12h,11988,11.20645446001557,45.923721196457436,-9.540211569903237
18,12-18h,11988,484.3975310282504,685.0638703752863,102.4175962295629
18,18-24h,11988,577.2267344386053,803.1077845831138,140.48250030447116
