date,plan_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,charge_kwh,discharge_kwh,plan_cost_yuan,adjustment_cost_yuan,ordinary_settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
2025-02-01,83855.34607916666,83855.34607916666,0.0,0.0,0.0,8584.834906035663,6953.716273888888,53951.2287103703,0.0,53951.2287103703,0.0,53951.2287103703,10800.0,10800.0
2025-02-02,83658.52410491083,83658.52410491083,0.0,0.0,0.0,17775.878867609743,18252.081090555555,53548.75016733853,0.0,53548.75016733853,0.0,53548.75016733853,10800.0,6518.20088023148
2025-02-03,90740.53058560699,90740.53058560699,0.0,0.0,0.0,22389.107093748276,18351.767256111114,57097.85688772355,0.0,57097.85688772355,0.0,57097.85688772355,6518.20088023148,6277.544757814812
2025-02-04,92896.22983624486,92896.22983624486,0.0,0.0,0.0,23356.037716872426,18758.224016666663,58869.64086620762,0.0,58869.64086620762,0.0,58869.64086620762,6277.544757814812,6455.507573370368
2025-02-05,87174.26189679698,87174.26189679698,0.0,0.0,26.479583333333416,23761.409318491078,19392.426064166662,54816.21337288028,0.0,54816.21337288028,153.80665979166713,54970.02003267195,6455.507573370368,6293.63588871605
2025-02-06,92503.58101975995,92503.58101975995,0.0,0.0,10.740660555555374,23234.816570192037,18877.520794999997,58360.39697453605,0.0,58360.39697453605,62.74156863527672,58423.13854317133,6293.63588871605,6229.947696333333
2025-02-07,88280.62407286007,88280.62407286007,0.0,0.0,0.0,13868.228388161866,7120.2179211111115,55570.986730285185,0.0,55570.986730285185,0.0,55570.986730285185,6229.947696333333,10800.0
2025-02-08,75303.5997793496,75303.5997793496,0.0,0.0,0.0,9286.261216735254,7521.871585555555,47598.07793554112,0.0,47598.07793554112,0.0,47598.07793554112,10800.0,10800.0
2025-02-09,82940.74018425238,82940.74018425238,0.0,0.0,26.686157591670884,17241.43549550754,18161.232869352774,53127.03388508828,0.0,53127.03388508828,182.2429767286629,53309.27686181694,10800.0,6138.144313342593
2025-02-10,83492.06387151234,83492.06387151234,0.0,0.0,58.53381576388981,21632.729041450617,17703.983462291664,51940.76807418704,0.0,51940.76807418704,270.7038558329557,52211.47193002,6138.144313342593,5936.507714768517
2025-02-11,84240.11530670781,84240.11530670781,0.0,0.0,134.26567543333164,23631.711474293552,19022.681569844444,52711.08300060066,0.0,52711.08300060066,752.0391148487552,53463.12211544941,5936.507714768517,6068.73518625
2025-02-12,83583.5037434568,83583.5037434568,0.0,0.0,243.04327583333762,22631.08183015432,18380.297999999995,52094.68159895169,0.0,52094.68159895169,1476.5470131850302,53571.22861213672,6068.73518625,6014.155500055556
2025-02-13,78079.80459477022,78079.80459477022,0.0,0.0,372.08203230833556,22443.54854522633,18044.34714685833,47870.06941618046,0.0,47870.06941618046,2365.7192925061154,50235.788708686574,6014.155500055556,6164.0745831388895
2025-02-14,80111.0513951063,80111.0513951063,0.0,0.0,0.0,13011.254630874482,6366.783375833331,49513.37254590695,0.0,49513.37254590695,0.0,49513.37254590695,6164.0745831388895,10800.0
2025-02-15,76648.13057165293,76648.13057165293,0.0,0.0,0.0,9187.882546296292,7442.184862499998,48265.93708381287,0.0,48265.93708381287,0.0,48265.93708381287,10800.0,10800.0
2025-02-16,78907.33630835733,78907.33630835733,0.0,0.0,280.9504927194473,17264.5166240775,18273.009891169444,50105.05100538948,0.0,50105.05100538948,1842.8063543858648,51947.85735977535,10800.0,6034.720638148148
2025-02-17,84003.07011028806,84003.07011028806,0.0,0.0,275.3538389138912,19918.099089866246,16258.349904974999,51778.84967117795,0.0,51778.84967117795,1820.0150458385679,53598.86471701652,6034.720638148148,5896.176591277777
2025-02-18,75127.54435932098,75127.54435932098,0.0,0.0,1531.021830680562,21565.23821762345,17279.002669041663,46139.129696807926,0.0,46139.129696807926,10381.815063834765,56520.94476064269,5896.176591277777,6105.9991326481495
2025-02-19,75108.57956749998,75108.57956749998,0.0,0.0,1917.6582468777844,22352.982458611106,18381.18359923333,46193.89720261883,0.0,46193.89720261883,12126.265985153985,58320.163187772814,6105.9991326481495,5800.146012916668
2025-02-20,78473.6084739506,78473.6084739506,0.0,0.0,517.4101672638867,22542.237810912207,17940.702030513894,47860.39404335145,0.0,47860.39404335145,3343.963878890041,51204.35792224149,5800.146012916668,6154.0466755
