strategy,alpha,terminal_target_kwh,initial_soc_kwh,final_soc_kwh,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
0+6+12+18,0.8,6000.0,7827.277455768037,6213.97555773206,21926941.747194543,22172412.273943216,245470.52674867897,0.0,6435275.027809788,5214024.744234162,29380.227861977688,3041352.7232629033,13461929.887125827,256551.7129582541,173776.57354744215,13892258.173631523
0,0.8,6000.0,7827.277455768037,6213.97555773206,21945456.550202467,21945456.550202467,0.0,0.0,6463382.626618224,5236791.899268994,77004.87928734571,2856681.2071739174,13469851.89379702,0.0,478990.2172001126,13948842.110997131
0+6,0.8,6000.0,7827.277455768037,6213.97555773206,21930047.488973267,22299594.154273547,369546.66530027887,0.0,6436634.962903921,5215126.2916604085,35811.31780410777,3174707.3058674764,13463251.510449857,365392.29693830106,217209.00553330933,14045852.812921468
0+12,0.8,6000.0,7827.277455768037,6213.97555773206,21929531.584645983,22065771.06156674,136239.47692075942,4.547473508864641e-13,6465762.028671004,5238719.214931746,46640.70746079684,2946179.460321616,13463032.823923595,151281.02577754998,271086.359559044,13885400.209260188
0+18,0.8,6000.0,7827.277455768037,6213.97555773206,21919988.82816682,21980317.163927004,60328.335760184156,0.0,6443137.433332751,5220393.292707762,39596.862142827405,2857980.3904781747,13458955.056330245,119291.14130593798,223814.3762355147,13802060.573871695
0+6+12,0.8,6000.0,7827.277455768037,6213.97555773206,21929337.860770594,22166194.516460948,236856.6556903486,0.0,6437465.675479558,5215799.168846674,36020.37611325514,3041358.8909746516,13462949.929477317,239661.2961884929,218444.85293669818,13921056.078602508
0+6+18,0.8,6000.0,7827.277455768037,6213.97555773206,21926111.29882323,22304790.583824757,378679.285001527,0.0,6432790.359202463,5212012.162662227,29414.72983794644,3174237.6221558014,13461575.19416219,383438.2382122528,174037.69014278217,14019051.122517223
0+12+18,0.8,6000.0,7827.277455768037,6213.97555773206,21926964.57405962,22072141.017708037,145176.44364841832,4.547473508864641e-13,6463441.317083597,5236839.438545947,39821.66578239581,2946171.309986117,13461939.606207486,168834.9861102605,225182.9876039232,13855957.579921672
0+6+12+18,0.0,6000.0,7827.277455768037,5843.9408467657695,20266370.554254804,20812549.69184441,546179.1375896058,0.0,6764482.407538503,5481015.75305429,150045.7594634174,1739939.301856949,12253765.719857873,624344.8534166929,880179.1641997822,13758289.737474347
0+6+12+18,0.7,6000.0,7827.277455768037,6047.884589437934,21301642.99528104,21618191.32894124,316548.3336601985,0.0,6580900.56658017,5332130.912509636,47369.35316739365,2477601.5330714355,13019850.253988758,333570.1097946663,278627.5384588987,13632047.902242323
0+6+12+18,0.9,6000.0,7827.277455768037,6451.6140396303545,22892717.917829778,23076589.803683143,183871.88585336797,0.0,6192058.708455446,5016805.650923436,13400.268341245943,3975547.5195257156,14175472.109462656,192112.18348928328,80103.85910786498,14447688.152059805
0+6+12+18,0.8,3600.0,7827.277455768037,3887.234602946902,21868735.896488033,22114504.88691854,245768.9904305055,0.0,6311554.877741338,5115905.489538023,29396.762985057772,3009062.766733619,13442092.773236979,256752.33652188865,173869.00031253893,13872714.110071408
0+6+12+18,0.8,8400.0,7827.277455768037,8563.009838497685,21998378.773720242,22242963.212978918,244584.43925867477,0.0,6610362.21557685,5353731.235472793,29348.96094749241,3076491.698855686,13489495.321377946,255937.86346908295,173611.57335425168,13919044.758201282
