日期,时间段,原计划购电量,调整后购电量,紧急购电量
2025-03-20,10:00-10:10,0.0,0.0,0.0
2025-03-20,12:00-12:10,634.5728541667,634.5728541667,0.0
2025-03-20,14:00-14:10,0.0,0.0,0.0
2025-03-20,16:00-16:10,680.2223318837,680.2223318837,0.0
2025-03-20,18:00-18:10,700.8094336198,700.8094336198,0.0
2025-03-20,20:00-20:10,0.0,0.0,0.0
2025-06-21,10:00-10:10,0.0,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0,0.0
2025-06-21,16:00-16:10,274.8048910764,274.8048910764,0.0
2025-06-21,18:00-18:10,0.0,0.0,0.0
2025-06-21,20:00-20:10,0.0,0.0,0.0
2025-09-23,10:00-10:10,0.0,0.0,0.0
2025-09-23,12:00-12:10,445.4183617795,445.4183617795,0.0
2025-09-23,14:00-14:10,0.0,0.0,0.0
2025-09-23,16:00-16:10,621.795789809,621.795789809,0.0
2025-09-23,18:00-18:10,789.0891086632,789.0891086632,0.0
2025-09-23,20:00-20:10,0.0,0.0,0.0
2025-12-21,10:00-10:10,0.0,0.0,0.0
2025-12-21,12:00-12:10,1043.5343834722,1043.5343834722,0.0
2025-12-21,14:00-14:10,0.0,0.0,0.0
2025-12-21,16:00-16:10,874.3253138021,874.3253138021,0.0
2025-12-21,18:00-18:10,739.7149327865,739.7149327865,0.0
2025-12-21,20:00-20:10,0.0,0.0,0.0
