日期,时间段,充电量,放电量
2025-03-20,00:00-04:00,4109.7007476312,202.0165783725
2025-03-20,04:00-08:00,958.4467259287001,6097.6119340146
2025-03-20,08:00-12:00,5844.0041013108,2554.2036814841
2025-03-20,12:00-16:00,5137.1351373724,254.72278333330001
2025-03-20,16:00-20:00,3.4249125514,5722.419582526001
2025-03-20,20:00-24:00,5575.735608254799,2972.4896864454
2025-06-21,00:00-04:00,955.4673652473,1464.0375333089
2025-06-21,04:00-08:00,512.142540382,4390.3921
2025-06-21,08:00-12:00,8510.994358264801,0.0
2025-06-21,12:00-16:00,0.0,0.0
2025-06-21,16:00-20:00,350.0369878768,5157.7205666666
2025-06-21,20:00-24:00,6586.2153706378995,2485.8965833333
2025-09-23,00:00-04:00,4817.7411443136,39.179458932200006
2025-09-23,04:00-08:00,772.2518452897,5615.8120006859
2025-09-23,08:00-12:00,6293.081099999899,1896.6157166665998
2025-09-23,12:00-16:00,3325.1278198151003,403.62491666669996
2025-09-23,16:00-20:00,0.0,5618.1503986025
2025-09-23,20:00-24:00,5681.7418141664,3062.5309193786
2025-12-21,00:00-04:00,4360.3956311112,96.4060344922
2025-12-21,04:00-08:00,1111.3863995071,1456.6103858507
2025-12-21,08:00-12:00,6218.9934287323995,6975.666066658
2025-12-21,12:00-16:00,6219.4938992956995,2302.0429693575998
2025-12-21,16:00-20:00,0.0,5580.7611266406
2025-12-21,20:00-24:00,5710.3308550909,2842.5257666667003
