issue_hour,lead_band,n,MAE_yuan_per_kwh,RMSE_yuan_per_kwh,bias_actual_minus_mean,interval_coverage,interval_average_width
0,0-6h,12024,0.033377694676140865,0.04198384293702029,0.00013520987634011713,0.8557884231536926,0.1262892940066956
0,6-12h,12024,0.05047608528504989,0.06728496986510021,0.0010373742546111132,0.8535429141716567,0.18574746118390342
0,12-18h,12024,0.052410474612621855,0.0700929584772858,0.0010007149188429542,0.8510479041916168,0.19223704620777438
0,18-24h,12024,0.045630298584675044,0.06552490178357244,0.00029760190403008895,0.8515469061876247,0.15776421649882302
6,0-6h,12024,0.04974651569475521,0.06623049423721988,0.0009952890845398475,0.853709248170326,0.18371098522241613
6,6-12h,12024,0.05202854894078549,0.06947543050528168,0.0009854907322244344,0.8507152361942781,0.19103074570139084
6,12-18h,12024,0.045402358461196675,0.06511564209445114,0.0002918983765136404,0.8514637391882901,0.15709709562177016
6,18-24h,11988,0.033325174629125744,0.041914852509748614,0.0001972200350977759,0.8564397731064398,0.12608828080762308
12,0-6h,12024,0.04934306805666715,0.06565841947268944,0.0006814267872892435,0.8559547571523619,0.18222593440080778
12,6-12h,12024,0.04465848533218435,0.06404454265048386,0.0001778321235009663,0.850964737192282,0.15529451035889594
12,12-18h,11988,0.0331770715127291,0.04174192479912249,0.00015367585191230422,0.8559392726059393,0.12567211546684617
12,18-24h,11988,0.050292153643685875,0.0669607407015935,0.0011994488529291102,0.8544377711044377,0.185397352175817
18,0-6h,12024,0.04284662375748155,0.060924073398645535,-1.7668229786937458e-05,0.8540419161676647,0.15033624213942284
18,6-12h,11988,0.032788083538363426,0.04126718519190342,7.497701586311663e-05,0.8573573573573574,0.12472572084096051
18,12-18h,11988,0.05005316606950181,0.06664242038723743,0.0011706878195764762,0.8551051051051051,0.18475890017220448
18,18-24h,11988,0.052161438372346235,0.06969582859467835,0.0010734716503251114,0.8519352686019352,0.19186471916286948
