date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_soc_kwh,terminal_soc_kwh
2025-02-01,41811.4102645282,41811.4102645282,0.0,0.0,20684.20467476982,16413.895988903398,0.0,3162.9256453284465,17593.97276301356,0.0,0.0,17593.97276301356,6135.562162010996,6513.684159411169
2025-02-02,87360.04587406079,87360.04587406079,0.0,0.0,21716.382008778262,17730.550961573936,0.0,5017.936876856462,60986.09528826991,0.0,0.0,60986.09528826991,6513.684159411169,6357.815787785011
2025-02-03,86719.23467574791,86719.23467574791,0.0,0.0,21727.76079722819,17591.659012683805,0.0,2366.216391203522,61667.44614936975,0.0,0.0,61667.44614936975,6357.815787785011,6366.512713419489
2025-02-04,86297.18967082923,86297.18967082923,0.0,0.0,22335.52080633964,18310.884123624754,719.3936133566049,1797.0826514709588,61443.77682868831,0.0,4285.315416513888,65729.09224520219,6366.512713419489,6123.054635097657
2025-02-05,86289.00153230042,86289.00153230042,0.0,0.0,23901.45132118828,19032.06232228296,48.93486998008521,720.1204200418587,61012.89618903522,0.0,220.47605669527388,61233.37224573049,6123.054635097657,6487.624910519386
2025-02-06,86099.86464829628,86099.86464829628,0.0,0.0,23264.974626812615,19049.483898816477,28.49742925806345,1641.814132891548,60839.90594927648,0.0,204.47409584865923,61044.38004512514,6487.624910519386,6260.008853743547
2025-02-07,41223.480655735424,41223.480655735424,0.0,0.0,19760.78769982279,15884.916302038808,0.0,5541.929591284773,17309.864257838908,0.0,0.0,17309.864257838908,6260.008853743547,6394.810781318717
2025-02-08,38949.302389956734,38949.302389956734,0.0,0.0,19456.08702371116,15692.35577110133,0.0,3608.408420680242,16191.569676174022,0.0,0.0,16191.569676174022,6394.810781318717,6469.338245879501
2025-02-09,84198.57884421422,84198.57884421422,0.0,0.0,22105.235131923182,18400.572575431233,49.34051818503931,987.8408392406546,59637.8323921201,0.0,217.38979781531316,59855.22218993541,6469.338245879501,5918.969225242332
2025-02-10,84356.60373238762,84356.60373238762,0.0,0.0,20603.440383708632,16413.48045447717,0.0,5840.006219822834,57292.93145811751,0.0,0.0,57292.93145811751,5918.969225242332,6224.865065605468
2025-02-11,82805.4655598772,82805.4655598772,0.0,0.0,22524.886057329975,18333.72277179796,40.88344237630217,3434.588583388146,56513.19879508629,0.0,215.62454989501316,56728.823344981305,6224.865065605468,6126.45943742694
2025-02-12,82691.30716045003,82691.30716045003,0.0,0.0,22478.364872005717,18122.19724138648,111.60588269217783,3180.0092791896377,56125.05854629267,0.0,717.5700227693574,56842.62856906203,6126.45943742694,6221.213109580439
2025-02-13,81909.99380834043,81909.99380834043,0.0,0.0,20316.429170889227,16444.100493260117,0.0,6708.186114044648,55035.48814136241,0.0,0.0,55035.48814136241,6221.213109580439,6234.776593091721
2025-02-14,37584.57884648583,37584.57884648583,0.0,0.0,18603.82747562692,14946.135168368412,0.0,4125.084722560654,15550.780270128691,0.0,0.0,15550.780270128691,6234.776593091721,6371.404467413272
2025-02-15,36920.19849643688,36920.19849643688,0.0,0.0,18697.00939072494,15460.779831249974,0.0,4403.877836961919,15916.924099230288,0.0,0.0,15916.924099230288,6371.404467413272,6020.068662121304
2025-02-16,79101.90962659458,79101.90962659458,0.0,0.0,21545.13370382987,17564.05234124639,618.5262773694833,361.9754413805907,54155.382707671306,0.0,3982.7126822661053,58138.09538993741,6020.068662121304,5895.075283072193
2025-02-17,79672.69448967403,79672.69448967403,0.0,0.0,20679.16005944719,16569.90655699337,16.09005205859312,4395.667872612136,53703.4037652508,0.0,82.0512204727956,53785.45498572359,5895.075283072193,6095.312051026476
2025-02-18,78015.92164094756,78015.92164094756,0.0,0.0,22974.408037052388,18565.049816561303,69.8519664384296,1585.0276035615798,51467.41000898694,0.0,462.2104619230886,51929.62047091003,6095.312051026476,6144.446154861069
2025-02-19,78619.83738492045,78619.83738492045,0.0,0.0,22954.814265971418,18720.647908156865,48.85094094534395,1555.1945847179186,52047.766373623606,0.0,231.71945625381306,52279.48582987742,6144.446154861069,6003.059096283275
2025-02-20,77532.22946590315,77532.22946590315,0.0,0.0,22651.065859039565,18259.744407982205,15.052975988981348,2162.8272575014466,51691.60438970121,0.0,70.38771572447679,51761.992105425685,6003.059096283275,6100.4134716608805
2025-02-21,35690.05122293182,35690.05122293182,0.0,0.0,19337.741653036162,15456.805199573997,0.0,6248.852736136322,14962.396151385647,0.0,0.0,14962.396151385647,6100.4134716608805,6330.152959866767
2025-02-22,35608.13244983397,35608.13244983397,0.0,0.0,17954.122453918222,14711.739727776523,0.0,4520.986840358933,15252.389690425332,0.0,0.0,15252.389690425332,6330.152959866767,6142.485693085919
2025-02-23,76697.74069158503,76697.74069158503,0.0,0.0,21356.998501205522,17503.64184505393,35.04090337886178,1347.571255478978,51134.29140416846,0.0,133.96137361738855,51268.25277778585,6142.485693085919,5915.293405222077
2025-02-24,75615.57666696288,75615.57666696288,0.0,0.0,21928.41083138726,17623.751225529795,294.62975725014684,3402.513201688906,49475.26418379596,0.0,1885.7946366715348,51361.05882046749,5915.293405222077,6068.917347326389
2025-02-25,74691.21478020173,74691.21478020173,0.0,0.0,20505.846750621244,16616.287848327214,0.0,4980.332644574378,48257.406422539876,0.0,0.0,48257.406422539876,6068.917347326389,6061.637369188601
2025-02-26,74507.11305207174,74507.11305207174,0.0,0.0,21501.55837783668,17357.398029018474,435.7511984220604,1983.8558683422666,48682.4086457052,0.0,2800.377078103938,51482.785723809146,6061.637369188601,6127.042099221089
2025-02-27,73324.7404932623,73324.7404932623,0.0,0.0,23280.588651475817,18828.7243956819,567.8176712543711,2484.109708722769,46466.29244970153,0.0,3124.0048397615287,49590.29728946306,6127.042099221089,6158.767001458333
2025-02-28,34601.600794594706,34601.600794594706,0.0,0.0,18728.353287218273,14983.848143600688,0.0,7564.50210097712,14002.358640576493,0.0,0.0,14002.358640576493,6158.767001458333,6365.564800398459
2025-03-01,33735.587618751386,33735.587618751386,0.0,0.0,17200.659508608995,14275.267593490611,0.0,7151.429770299669,13713.915170121356,0.0,0.0,13713.915170121356,6365.564800398459,5984.749920934759
2025-03-02,72109.50871101387,72109.50871101387,0.0,0.0,18681.832906910266,15303.596580455527,4405.504370907097,778.4696887995675,47119.54606916025,0.0,27309.75080367187,74429.29687283211,5984.749920934759,5794.403336647859
2025-03-03,71951.48454934174,71951.48454934174,0.0,0.0,21248.84747221093,17065.51870346482,4763.388564106597,514.3977113688893,46154.997390178745,0.0,28925.58679846959,75080.58418864834,5794.403336647859,5956.678613343462
2025-03-04,72447.85360359354,72447.85360359354,0.0,0.0,21735.91078973523,17666.127184955072,1024.932083314408,203.54414879445835,46834.73002868709,0.0,6400.664108005854,53235.39413669294,5956.678613343462,5889.968118599537
2025-03-05,72908.45308058383,72908.45308058383,0.0,0.0,22337.300338669756,17987.070382896585,82.98847203966352,2510.7395801836624,46108.978249033025,0.0,544.6800183338355,46653.65826736686,5889.968118599537,6007.904664628328
2025-03-06,71166.09942153304,71166.09942153304,0.0,0.0,21304.301200309514,17470.30614745253,807.0881083765549,2198.538343719292,45035.08571147361,0.0,5346.103347978143,50381.18905945176,6007.904664628328,5770.324469959635
2025-03-07,32683.492855352994,32683.492855352994,0.0,0.0,17377.90814743508,13853.475261085303,37.90132648482036,8274.675762154706,13185.741617027623,0.0,75.49231979829155,13261.233936825914,5770.324469959635,6017.691512556425
2025-03-08,32243.13052174013,32243.13052174013,0.0,0.0,17250.279066466326,13910.679105925887,0.0,9840.391044533024,12957.979725234178,0.0,0.0,12957.979725234178,6017.691512556425,6086.63255468069
2025-03-09,69322.30289449789,69322.30289449789,0.0,0.0,22078.48483513185,18027.136815030753,55.33908713153717,1992.7689115283279,43210.77724956614,0.0,263.3986966486942,43474.17594621483,6086.63255468069,5927.116889598526
2025-03-10,68965.4257765205,68965.4257765205,0.0,0.0,19574.62632645329,15950.129244849039,2772.656949875418,71.51419479166714,44431.084793916314,0.0,17057.984947937573,61489.06974185389,5927.116889598526,5821.914755796441
2025-03-11,69242.15040861073,69242.15040861073,0.0,0.0,20859.367682297187,16710.259771274526,835.0054654767296,1989.1291630648116,43576.62702466023,0.0,5373.84856142087,48950.4755860811,5821.914755796441,6028.390368447773
2025-03-12,68571.98387177948,68571.98387177948,0.0,0.0,21095.978678183954,17341.41634726183,306.77357453827005,2688.660432062293,42684.5348036632,0.0,2002.5235146988464,44687.05831836204,6028.390368447773,5746.530792966857
2025-03-13,68043.14608018161,68043.14608018161,0.0,0.0,19754.70155176232,15934.451914141788,3406.152009131619,83.43043502604212,43158.66707463441,0.0,21120.410146361086,64279.077220995496,5746.530792966857,5820.815618284289
2025-03-14,30862.27437027862,30862.27437027862,0.0,0.0,16783.55759443042,13402.442121084474,6.469955509065002,11458.20286910841,12139.957977272405,0.0,26.87296020690149,12166.830937479306,5820.815618284289,6034.41509651114
2025-03-15,31065.3470003264,31065.3470003264,0.0,0.0,18554.63817114533,15221.398742309359,230.76879186803257,7038.751213358466,12631.867506138888,0.0,968.0526564479248,13599.920162586812,6034.41509651114,5820.924181309317
2025-03-16,67244.89444261661,67244.89444261661,0.0,0.0,22120.87302700678,17917.532107442556,1216.541458242957,907.0480479620072,41500.037951808285,0.0,7163.496558947149,48663.53451075544,5820.924181309317,5821.34089734592
2025-03-17,67337.43735214123,67337.43735214123,0.0,0.0,20240.63787552981,16192.59645725503,124.83599716985441,5556.100497702984,40772.53617748419,0.0,785.7618576772493,41558.29803516143,5821.34089734592,6046.141143928274
2025-03-18,65357.453854594096,65357.453854594096,0.0,0.0,21934.604323054387,17905.106014358586,552.2689050839859,754.2660843156218,40234.20787917475,0.0,2834.8133949021503,43069.0212740769,6046.141143928274,5892.722796501018
2025-03-19,65056.672302044695,65056.672302044695,0.0,0.0,22132.86287373297,17765.372413993548,551.5494441128283,1775.2608364181026,39626.344145759234,0.0,2862.74138209294,42489.08552785217,5892.722796501018,6072.996700645641
2025-03-20,64178.46543288846,64178.46543288846,0.0,0.0,20149.161931681003,16382.07651639373,1984.2177075125962,186.63590844711507,39704.14087788418,0.0,12580.387373676736,52284.528251560914,6072.996700645641,6004.935198721064
2025-03-21,29877.785236764412,29877.785236764412,0.0,0.0,17682.950226919154,14401.499140673654,138.44924637113232,14701.31888022338,11634.983530123138,0.0,611.3644126886456,12246.347942811783,6004.935198721064,5917.924691088686
2025-03-22,30506.646092870335,30506.646092870335,0.0,0.0,17969.26108013181,14313.567319376249,0.0,10969.752598781437,12081.3773157964,0.0,0.0,12081.3773157964,5917.924691088686,6186.295975011484
