date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,41670.46951685507,41670.46951685507,0.0,0.0,19934.4457725394,15835.661807913815,0.0,3193.509618896152,17503.627374447693,0.0,0.0,17503.627374447693
2025-02-02,87507.8717529794,87507.8717529794,0.0,0.0,22398.81238608769,18265.683679402257,0.0,5018.46509629396,60930.609429517644,0.0,0.0,60930.609429517644
2025-02-03,87004.97705753936,87004.97705753936,0.0,0.0,22998.408096063715,18675.659904284854,0.0,2465.31236576051,61612.270292904315,0.0,0.0,61612.270292904315
2025-02-04,86679.71489973276,86679.71489973276,0.0,0.0,24290.566031841998,19785.694218935965,410.918050511083,1390.8971873378093,61133.05773493342,0.0,2691.5132308475936,63824.570965781015
2025-02-05,86428.74232585769,86428.74232585769,0.0,0.0,24527.07244145097,19640.880788527767,189.42969734546253,983.5533869466151,60796.01538747814,0.0,974.2367730240733,61770.25216050221
2025-02-06,86229.22907791878,86229.22907791878,0.0,0.0,23628.052288904477,19271.75656192274,28.49742925806345,1630.3735635284304,60712.21967411028,0.0,204.47409584865923,60916.69376995894
2025-02-07,41208.27053211467,41208.27053211467,0.0,0.0,19796.904238470557,15893.677425606515,0.0,5499.364052583964,17244.482338107842,0.0,0.0,17244.482338107842
2025-02-08,38784.24340843265,38784.24340843265,0.0,0.0,18795.491893489954,15192.286831452893,0.0,3603.8756297289215,16139.758557365676,0.0,0.0,16139.758557365676
2025-02-09,84255.95752282225,84255.95752282225,0.0,0.0,22350.82754993364,18614.786072318533,53.610518223108286,1018.1105967635913,59394.30169788533,0.0,237.0168529902972,59631.31855087562
2025-02-10,84590.68554588295,84590.68554588295,0.0,0.0,21671.569845930535,17298.469490479773,0.0,5890.947607098867,57020.150815345296,0.0,0.0,57020.150815345296
2025-02-11,82834.67203494011,82834.67203494011,0.0,0.0,22526.287051413747,18318.373599611932,40.883442376303876,3447.044892181278,56543.136978100425,0.0,215.6245498950246,56758.76152799545
