variant,date,issue_datetime,issue_hour,first_target_end,last_target_end,soc_measured_kwh,planned_terminal_kwh,milp_gap,price_mode,radius_scale,nominal_horizon_proxy_cost_yuan,box_worst_horizon_proxy_cost_yuan,q2_pv_history_only,load_history_through_date
4-3,2025-01-01,2025-01-01 00:00:00,0,2025-01-01 00:10:00,2025-01-02 00:00:00,6000.0,6000.0,0.0,forecast,1.0,0.0,0.0,False,
4-3,2025-01-01,2025-01-01 06:00:00,6,2025-01-01 06:10:00,2025-01-02 06:00:00,1200.0,6000.0,0.0,forecast,1.0,0.0,0.0,False,
4-3,2025-01-01,2025-01-01 12:00:00,12,2025-01-01 12:10:00,2025-01-02 12:00:00,1200.0,6000.0,0.0,forecast,1.0,0.0,0.0,False,
4-3,2025-01-01,2025-01-01 18:00:00,18,2025-01-01 18:10:00,2025-01-02 18:00:00,1200.0,6000.0,0.0,forecast,1.0,0.0,0.0,False,
4-3,2025-01-02,2025-01-02 00:00:00,0,2025-01-02 00:10:00,2025-01-03 00:00:00,1200.0,6000.0,0.0,forecast,1.0,78899.7590543247,78899.7590543247,False,2025-01-01
4-3,2025-01-02,2025-01-02 06:00:00,6,2025-01-02 06:10:00,2025-01-03 06:00:00,10586.246687037037,6000.0,0.0,forecast,1.0,73545.09094228427,73545.09094228427,False,2025-01-01
4-3,2025-01-02,2025-01-02 12:00:00,12,2025-01-02 12:10:00,2025-01-03 12:00:00,7823.8662756790145,6000.0,0.0,forecast,1.0,72772.73282572681,72772.73282572681,False,2025-01-01
4-3,2025-01-02,2025-01-02 18:00:00,18,2025-01-02 18:10:00,2025-01-03 18:00:00,10446.154204201235,6000.0,0.0,forecast,1.0,74787.803114379,74787.803114379,False,2025-01-01
4-3,2025-01-03,2025-01-03 00:00:00,0,2025-01-03 00:10:00,2025-01-04 00:00:00,5944.373769444444,6000.0,0.0,forecast,1.0,75306.19209161786,75306.19209161786,False,2025-01-02
4-3,2025-01-03,2025-01-03 06:00:00,6,2025-01-03 06:10:00,2025-01-04 06:00:00,10800.0,6000.0,1.3929615721610164e-15,forecast,1.0,70078.85163860118,70078.85163860118,False,2025-01-02
4-3,2025-01-03,2025-01-03 12:00:00,12,2025-01-03 12:10:00,2025-01-04 12:00:00,10800.0,6000.0,0.0,forecast,1.0,68633.34918578282,68633.34918578282,False,2025-01-02
