日期,时间段,充电量,放电量
2025-03-20,00:00-04:00,4770.0836085592,161.7643394141
2025-03-20,04:00-08:00,192.3379348957,5648.9077834245
2025-03-20,08:00-12:00,5129.4840827339995,2777.3772166667
2025-03-20,12:00-16:00,5550.8202468056,254.72278333330001
2025-03-20,16:00-20:00,0.0,6403.020160338599
2025-03-20,20:00-24:00,5597.4800516143,2224.219315638
2025-06-21,00:00-04:00,671.4344037739,4604.577531966101
2025-06-21,04:00-08:00,1491.4627568099,1719.9539666667001
2025-06-21,08:00-12:00,8531.042643200799,0.0
2025-06-21,12:00-16:00,0.0,0.0
2025-06-21,16:00-20:00,0.0,5124.3591211155
2025-06-21,20:00-24:00,6626.8531516274,2485.8965833333
2025-09-23,00:00-04:00,4735.7870587165,26.8963191146
2025-09-23,04:00-08:00,621.4765074534,5524.5066672303
2025-09-23,08:00-12:00,6293.081099999899,1896.6157166665998
2025-09-23,12:00-16:00,3227.5111392874,403.62491666669996
2025-09-23,16:00-20:00,108.9014105469,5367.886308146701
2025-09-23,20:00-24:00,5703.2774007159,3338.9940660156
2025-12-21,00:00-04:00,4646.0320494857,96.4060344922
2025-12-21,04:00-08:00,837.1092362155999,1420.7093910937
2025-12-21,08:00-12:00,6113.6696698002,6870.342307725599
2025-12-21,12:00-16:00,6514.423640673899,2560.9475740712
2025-12-21,16:00-20:00,0.0,5171.856949999999
2025-12-21,20:00-24:00,5684.5288545311,3237.0823115105004
