variant,strategy,radius_scale,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,initial_soc_kwh,final_soc_kwh,daily_cost_p95_yuan,daily_cost_upper5pct_mean_yuan,days_with_emergency
4-2,interval_robust,1.0,19859730.18122974,19859730.18122974,0.0,0.0,6511654.268451722,5274718.12736165,622309.1532547167,1305913.698427719,12695697.740989838,0.0,3992528.57859604,16688226.319585878,6135.562162010996,5826.484477839988,90294.79210421405,112127.64342703203,297
4-2,scenario_expected,0.0,19879927.575591084,19879927.575591084,0.0,0.0,6615940.339260515,5359184.211723382,625443.0358360888,1309424.9889233725,12691836.965600066,0.0,3978470.8283822425,16670307.793982306,6135.562162010996,5832.74335938368,90226.569240648,111214.87802160994,296
4-2,half_radius,0.5,19867816.533764675,19867816.533764675,0.0,0.0,6555476.649934859,5310213.183558963,624563.1872456986,1307926.759667815,12689975.887057755,0.0,3992810.38892489,16682786.275982646,6135.562162010996,5827.676482313368,90312.1352853013,111913.13493871527,296
4-2,wider_radius,1.5,19850844.04151854,19850844.04151854,0.0,0.0,6464228.703864545,5236277.869997188,620823.9572826488,1304527.6699671664,12706312.208402233,0.0,3996157.399560025,16702469.607962258,6135.562162010996,5854.873421004051,90110.35301826427,112425.09065909864,296
4-2,fixed_price_planning,0.0,19870847.519127745,19870847.519127745,0.0,0.0,6547961.920129387,5304146.140979342,626074.2450003461,1313916.4900113842,12686527.360202901,0.0,4005504.1194929923,16692031.479695892,6135.562162010996,5805.578079189814,91353.67814090443,110428.97809069703,299
4-2,perfect_price_benchmark,0.0,19928414.98594951,19928414.98594951,0.0,0.0,6843464.554225124,5543458.869172031,641556.3537286301,1330776.1596583792,12557414.478199344,0.0,4091547.407872336,16648961.886071682,6135.562162010996,5854.917440144676,91261.15791231515,111244.12541563621,299
4-3,interval_robust,1.0,21905927.56239015,22152062.170237493,246134.60784734302,0.0,6417552.4120869525,5199691.889765808,27857.76789555696,3022869.9208452394,14223775.085949864,273450.48998286884,164521.66658817796,14661747.24252091,7823.286130188512,6185.0239353248,73789.67191415455,76082.68247688471,98
4-3,scenario_expected,0.0,21926162.943675347,22173634.434150327,247471.49047498227,0.0,6537783.405468669,5297079.058258692,29153.98273966907,3022894.5747133535,14218642.510469824,276032.40575576155,171321.08336807188,14665995.999593657,7823.286130188512,6184.952986777925,73946.10413528336,76152.41481253077,99
4-3,half_radius,0.5,21914685.58429779,22161023.014051586,246337.42975379078,0.0,6471317.753602317,5243241.816393252,28617.750388438908,3022375.332264293,14217468.671315784,273883.3920935695,169193.721692798,14660545.785102151,7823.286130188512,6185.0239353248,73866.1780348915,76092.46182323787,98
4-3,wider_radius,1.5,21896936.088030662,22137987.96955276,241051.88152209637,0.0,6363509.892349499,5155885.415691377,28406.855956202693,3019580.8538841745,14234921.65833553,269095.33305120387,168282.69406652314,14672299.685453257,7823.286130188512,6220.616254320893,73790.5691356739,76218.34792576963,101
4-3,fixed_price_planning,0.0,21926946.18200074,22172416.70874942,245470.52674867897,0.0,6435279.462615987,5214024.744234162,29380.227861977688,3041352.7232629033,14215079.663385898,271123.8640406594,180958.3400545825,14667161.867481142,7823.286130188512,6213.97555773206,73752.44332663764,76266.92069725909,106
4-3,perfect_price_benchmark,0.0,21981231.000733092,22232274.854778755,251043.85404566737,0.0,6779888.591306802,5493134.288394607,30423.33611825099,3036754.3930181484,14080558.99340891,277303.67697731196,178845.29299276648,14536707.963378992,7823.286130188512,6240.475645637586,73500.6005616349,75826.26955980204,106
